epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,177.054,0.96516,4.0293,0.95965,0.44532,0.30237,0.23076,0.18713,0.68914,3.71024,0.85731,0.00010908,0.00010908,0.00010908
2,352.955,0.70694,2.29373,0.85185,0.44142,0.72649,0.53317,0.45109,0.63303,2.49732,0.83011,0.000221626,0.000221626,0.000221626
3,528.382,0.63298,1.62918,0.84247,0.53388,0.81509,0.64479,0.53905,0.61331,3.00435,0.82684,0.000328322,0.000328322,0.000328322
4,713.063,0.73109,1.44244,0.88677,0.53848,0.86489,0.70974,0.61527,0.60559,1.94223,0.83358,0.000429168,0.000429168,0.000429168
5,893.094,0.7618,1.38355,0.87223,0.68572,0.881,0.85488,0.72839,0.61362,1.37336,0.83578,0.000524166,0.000524166,0.000524166
6,1072.17,0.70592,1.05745,0.87597,0.83059,0.83723,0.91581,0.79025,0.62749,1.15992,0.82625,0.000613314,0.000613314,0.000613314
7,1251.16,0.68963,1.22461,0.80365,0.90753,0.83023,0.92302,0.77293,0.64937,0.97949,0.82686,0.000696612,0.000696612,0.000696612
8,1430.75,0.7437,0.98893,0.89765,0.58938,0.46257,0.52705,0.41589,0.94606,3.28832,0.98652,0.000751516,0.000751516,0.000751516
9,1607.16,0.67813,0.79433,0.87912,0.77352,0.28088,0.40873,0.30735,1.08362,3.12638,1.06574,0.000729018,0.000729018,0.000729018
10,1778.86,0.7098,0.81723,0.87765,0.8412,0.4398,0.56165,0.45625,0.96906,2.56733,1.05073,0.00070652,0.00070652,0.00070652
11,1951.81,0.71594,0.75198,0.87379,0.87811,0.91256,0.96034,0.80125,0.69152,0.89164,0.852,0.000684022,0.000684022,0.000684022
12,2124.57,0.76698,0.74762,0.90399,0.94619,0.83346,0.95183,0.81458,0.60208,0.78627,0.82468,0.000661525,0.000661525,0.000661525
13,2296.59,0.65586,0.65544,0.84941,0.82569,0.62937,0.71296,0.59905,0.81547,1.64162,0.9263,0.000639027,0.000639027,0.000639027
14,2468.05,0.62168,0.59859,0.85039,0.87816,0.92451,0.97119,0.84382,0.57977,0.76859,0.82907,0.000616529,0.000616529,0.000616529
15,2639.69,0.61024,0.5652,0.82443,0.95676,0.97134,0.9931,0.8603,0.62808,0.57291,0.84061,0.000594031,0.000594031,0.000594031
16,2811.28,0.65763,0.56594,0.84458,0.93608,0.97792,0.99024,0.87323,0.54249,0.55028,0.8216,0.000571534,0.000571534,0.000571534
17,3999.08,0.62667,0.5794,0.849,0.98208,0.96676,0.995,0.89402,0.54704,0.49635,0.81385,0.000549036,0.000549036,0.000549036
18,4173.93,0.62595,0.5288,0.85025,0.92621,0.96633,0.99173,0.87041,0.53822,0.50443,0.81776,0.000526538,0.000526538,0.000526538
19,4346.11,0.59816,0.52003,0.84778,0.98036,0.92322,0.99024,0.88092,0.52842,0.49843,0.81502,0.00050404,0.00050404,0.00050404
20,4524.84,0.59842,0.63144,0.85003,0.96603,0.97663,0.995,0.86104,0.56391,0.46437,0.81945,0.000481543,0.000481543,0.000481543
21,4701.36,0.83783,0.72958,0.94484,0.9724,0.98904,0.995,0.883,0.5134,0.42565,0.81188,0.000459045,0.000459045,0.000459045
22,4874.1,0.60816,0.52687,0.82695,0.89453,0.8276,0.90088,0.79782,0.52096,0.96267,0.82449,0.000436547,0.000436547,0.000436547
23,5048.24,0.55577,0.48444,0.83301,0.97093,0.99191,0.995,0.88964,0.47213,0.40074,0.80741,0.000414049,0.000414049,0.000414049
24,5222.46,0.5523,0.47653,0.82683,0.98505,0.99411,0.995,0.91757,0.46718,0.39923,0.8017,0.000391552,0.000391552,0.000391552
25,5396.56,0.52274,0.48248,0.8339,0.97551,1,0.995,0.89468,0.48498,0.39083,0.80346,0.000369054,0.000369054,0.000369054
26,5570.11,0.52808,0.46041,0.83985,0.98763,0.99424,0.995,0.89104,0.47059,0.393,0.8036,0.000346556,0.000346556,0.000346556
27,5742.24,0.58688,0.58825,0.84312,0.98826,0.97546,0.995,0.89897,0.45069,0.36996,0.80078,0.000324058,0.000324058,0.000324058
28,5937.92,0.49397,0.44067,0.82225,0.93495,0.85534,0.94023,0.85853,0.46441,0.75404,0.80766,0.000301561,0.000301561,0.000301561
29,6111.4,0.50791,0.44577,0.81962,0.98785,1,0.995,0.90621,0.46825,0.37458,0.80029,0.000279063,0.000279063,0.000279063
30,6299.6,0.52734,0.42587,0.83389,0.98796,1,0.995,0.92387,0.43037,0.33347,0.79529,0.000256565,0.000256565,0.000256565
31,6477.96,0.42731,0.37768,0.78469,0.98752,1,0.995,0.89695,0.45844,0.33998,0.79669,0.000234068,0.000234068,0.000234068
